,x,low_V_f,low_V_f_100,T_V_f,T_V_f_100,pi_V_f,pi_V_f_100
1212,48480.0,-9.975107356829799,-11.11406438766907,-10.181965455363438,-11.662934837653172,-10.388638396027957,-14.187907165481075
1213,48520.0,-9.981463321667086,-11.120481451122506,-10.189089545224611,-11.66902661422814,-10.39556998525536,-14.196642245736752
1214,48560.0,-9.987680890379306,-11.12671593160682,-10.194917596480892,-11.67490526632799,-10.402015826817927,-14.204727250250018
1215,48600.0,-9.99388900703613,-11.132252643702355,-10.201407200148843,-11.6806329378079,-10.408957246132326,-14.213735232464145
1216,48640.0,-10.000684423398877,-11.138508647141478,-10.20787985761225,-11.687037347253032,-10.415065272690907,-14.222226142705242
1217,48680.0,-10.006666726532313,-11.144610397397186,-10.21403347883042,-11.693091345219882,-10.422115097852009,-14.231139715622911
1218,48720.0,-10.013070430219958,-11.150334216568345,-10.220577688484362,-11.699295898879022,-10.428236686894373,-14.239332925699467
1219,48760.0,-10.020805585608478,-11.15707741010445,-10.2275343751371,-11.705921302740212,-10.4349761966407,-14.248308135048951
1220,48800.0,-10.026676959157525,-11.163279261456251,-10.233813783327667,-11.711767166231319,-10.441820849919148,-14.256425362103013
1221,48840.0,-10.033337024567368,-11.169227055349545,-10.240289605018502,-11.717717722586736,-10.448707104544974,-14.26475415257838
1222,48880.0,-10.039209477075087,-11.17508427027836,-10.24716524829438,-11.723942893775376,-10.455333987630198,-14.273841372463085
1223,48920.0,-10.04548170074154,-11.18081602175289,-10.252925377920043,-11.730256447434684,-10.46180017803611,-14.28264659257673
1224,48960.0,-10.051373077417033,-11.187262900921265,-10.259334503166764,-11.736229685358353,-10.468408551563009,-14.291096499570525
1225,49000.0,-10.057927678771929,-11.19322151166083,-10.266217648124984,-11.742830307094483,-10.475029738064363,-14.299305530988773
1226,49040.0,-10.064384144970695,-11.199450173199388,-10.272917033725477,-11.74860596393936,-10.480699914903674,-14.308133255826599
1227,49080.0,-10.070639093653782,-11.20541339145943,-10.278712022509758,-11.754269255427065,-10.487299311630506,-14.316381958291212
1228,49120.0,-10.076855605340771,-11.21130165506829,-10.28532123604717,-11.759751793215592,-10.493324935265678,-14.32500079307179
1229,49160.0,-10.082766655005903,-11.216924583741744,-10.291847440007565,-11.765942972837616,-10.500341473843559,-14.333396305853217
1230,49200.0,-10.089322668117253,-11.223814879036622,-10.298015959420013,-11.772093395013384,-10.506687674944189,-14.341922741412967
1231,49240.0,-10.095441667711535,-11.229867472354522,-10.303924364869232,-11.778431007837515,-10.512900442761989,-14.34999424737141
1232,49280.0,-10.101648630941142,-11.236026212677883,-10.3094991701383,-11.784135900317887,-10.51968252692596,-14.359161667059759
1233,49320.0,-10.108161726757688,-11.241934328416631,-10.316106392750271,-11.790359580848547,-10.526357715146958,-14.367188989458
1234,49360.0,-10.114532066256995,-11.247411751126622,-10.322730539435055,-11.79609244863505,-10.533013666091735,-14.375655202673682
1235,49400.0,-10.120737750676795,-11.253458119767432,-10.329097877167602,-11.802395219743108,-10.539039742101338,-14.3838754234405
1236,49440.0,-10.127018476545647,-11.259292940778272,-10.335658770038949,-11.808345711359397,-10.546061940416676,-14.392111574601913
1237,49480.0,-10.133827447986564,-11.265343800761809,-10.341783565862052,-11.814660409800394,-10.552511434510489,-14.401121131174122
1238,49520.0,-10.139376459355244,-11.271030262213156,-10.348282476938206,-11.820599123232077,-10.558634861265599,-14.409770102542716
1239,49560.0,-10.146058603328958,-11.277160425418131,-10.354712921078137,-11.826465127680388,-10.564953924394594,-14.417617699914608
1240,49600.0,-10.152534284847665,-11.283211413456257,-10.361014156282742,-11.83233913977812,-10.571447191023871,-14.426356022927393
1241,49640.0,-10.158767189420647,-11.289318846499105,-10.367678630652751,-11.838491253756715,-10.577737090527698,-14.43448254045248
1242,49680.0,-10.165663680215859,-11.294644759287099,-10.374265322885625,-11.843962447587508,-10.584252181820567,-14.44257298227862
1243,49720.0,-10.171478533654746,-11.300735518558936,-10.380724446954552,-11.850111660845377,-10.590841383543905,-14.451000290851066
1244,49760.0,-10.17775178861484,-11.306842920920332,-10.38683404154678,-11.855519233597034,-10.597361053820642,-14.459959683425483
1245,49800.0,-10.183118260085969,-11.312832744333157,-10.392911108791221,-11.862124950063055,-10.60352672181743,-14.468137570093738
1246,49840.0,-10.189711999467237,-11.318559919169193,-10.398884441022267,-11.868041405907888,-10.609769653319876,-14.47622585807984
1247,49880.0,-10.196400339541498,-11.323940025433041,-10.405447675302057,-11.873756726578499,-10.616204250719154,-14.484534311450414
1248,49920.0,-10.202524045117713,-11.330452075106304,-10.412081107422651,-11.879865076642087,-10.623025295423275,-14.493586054417628
1249,49960.0,-10.20911492889212,-11.335954116813573,-10.418436998390048,-11.885611577646431,-10.628914391177236,-14.501548952381192
1250,50000.0,-10.21444040705166,-11.341952592115254,-10.424469176931105,-11.891809695267352,-10.635497941815053,-14.509875484318627
1251,50040.0,-10.220363582896791,-11.348030737788937,-10.43097865966966,-11.89790529657669,-10.641682818296925,-14.51790979711223
1252,50080.0,-10.226084115761807,-11.353943807767493,-10.43697909842658,-11.903527180868565,-10.647985877911266,-14.526043898610972
1253,50120.0,-10.232664320480339,-11.35971347969743,-10.44393732689466,-11.909473954683765,-10.654254679162111,-14.534912048571398
1254,50160.0,-10.238780840602717,-11.365671871365127,-10.449748445125806,-11.915061493276045,-10.661209915249731,-14.543625592618419
1255,50200.0,-10.245987912223866,-11.371588339653897,-10.455892998156004,-11.921383815298451,-10.6672504857616,-14.551731289753677
1256,50240.0,-10.252047252698981,-11.377656569313006,-10.461588675645078,-11.927408236771148,-10.673571248551248,-14.559998155575457
1257,50280.0,-10.25883185427116,-11.38354089209415,-10.46800855554465,-11.933711942499507,-10.679614228554557,-14.56822303401305
1258,50320.0,-10.264216603163515,-11.389567529180338,-10.47409688348829,-11.939351941,-10.685563089746825,-14.577071289617056
1259,50360.0,-10.270279388734881,-11.395650259462379,-10.481015706277987,-11.944932114381238,-10.692353736782065,-14.585571188884314
1260,50400.0,-10.276609223167071,-11.40134767256749,-10.486985889190318,-11.951436090325569,-10.69941231208457,-14.593594592914634
1261,50440.0,-10.28358303971179,-11.406979523218055,-10.493020825783521,-11.956972762693322,-10.705335688203936,-14.601806866673444
1262,50480.0,-10.288693737086323,-11.412761427908741,-10.50020880495344,-11.963440610982055,-10.712098279483113,-14.610299702617928
1263,50520.0,-10.294816827044045,-11.418738984697255,-10.505858137585118,-11.968788813799227,-10.717412391628788,-14.618690094583473
